column_name,what_it_measures,why_included_in_analysis,how_value_is_computed,computation_tools,narrative_summary
XY_bins_hist_range,Histogram range derived from radial bin occupancy profile for object.,"Converts per-bin voxel counts into a single descriptor of radial localization pattern. For example, hist_mean indicates the weighted average radial distance of object localization.","Source metric: `XY_obj_vox_cnt_perbin` from organelle_distribution_metrics. Derivation: (1) Compute obj_perc_per_bin = (voxel_count / sum_all_voxels) * 100; (2) Normalize by area: obj_portion_normed_tobin = obj_perc_per_bin / mask_fraction_per_bin; (3) Create weighted sample by repeating each bin index according to normalized occupancy*100; (4) Compute range of this weighted sample (e.g., mean, median, std, etc.).","numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram RANGE of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
XY_bins_hist_stdev,Histogram stdev derived from radial bin occupancy profile for object.,"Converts per-bin voxel counts into a single descriptor of radial localization pattern. For example, hist_mean indicates the weighted average radial distance of object localization.","Source metric: `XY_obj_vox_cnt_perbin` from organelle_distribution_metrics. Derivation: (1) Compute obj_perc_per_bin = (voxel_count / sum_all_voxels) * 100; (2) Normalize by area: obj_portion_normed_tobin = obj_perc_per_bin / mask_fraction_per_bin; (3) Create weighted sample by repeating each bin index according to normalized occupancy*100; (4) Compute stdev of this weighted sample (e.g., mean, median, std, etc.).","numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram STDEV of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
XY_bins_hist_skew,Histogram skew derived from radial bin occupancy profile for object.,"Converts per-bin voxel counts into a single descriptor of radial localization pattern. For example, hist_mean indicates the weighted average radial distance of object localization.","Source metric: `XY_obj_vox_cnt_perbin` from organelle_distribution_metrics. Derivation: (1) Compute obj_perc_per_bin = (voxel_count / sum_all_voxels) * 100; (2) Normalize by area: obj_portion_normed_tobin = obj_perc_per_bin / mask_fraction_per_bin; (3) Create weighted sample by repeating each bin index according to normalized occupancy*100; (4) Compute skew of this weighted sample (e.g., mean, median, std, etc.).","numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram SKEW of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
XY_bins_hist_kurtosis,Histogram kurtosis derived from radial bin occupancy profile for object.,"Converts per-bin voxel counts into a single descriptor of radial localization pattern. For example, hist_mean indicates the weighted average radial distance of object localization.","Source metric: `XY_obj_vox_cnt_perbin` from organelle_distribution_metrics. Derivation: (1) Compute obj_perc_per_bin = (voxel_count / sum_all_voxels) * 100; (2) Normalize by area: obj_portion_normed_tobin = obj_perc_per_bin / mask_fraction_per_bin; (3) Create weighted sample by repeating each bin index according to normalized occupancy*100; (4) Compute kurtosis of this weighted sample (e.g., mean, median, std, etc.).","numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram KURTOSIS of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
XY_bins_hist_var,Histogram var derived from radial bin occupancy profile for object.,"Converts per-bin voxel counts into a single descriptor of radial localization pattern. For example, hist_mean indicates the weighted average radial distance of object localization.","Source metric: `XY_obj_vox_cnt_perbin` from organelle_distribution_metrics. Derivation: (1) Compute obj_perc_per_bin = (voxel_count / sum_all_voxels) * 100; (2) Normalize by area: obj_portion_normed_tobin = obj_perc_per_bin / mask_fraction_per_bin; (3) Create weighted sample by repeating each bin index according to normalized occupancy*100; (4) Compute var of this weighted sample (e.g., mean, median, std, etc.).","numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram VAR of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
XY_wedges_hist_mean,Histogram mean derived from angular wedge occupancy profile for object.,"Converts per-wedge voxel counts into a single descriptor of angular distribution. For example, hist_mean indicates the weighted average angular direction of object localization.",Source metric: `XY_obj_vox_cnt_perwedge` from organelle_distribution_metrics. Derivation: (1) Compute obj_perc_per_wedge = (voxel_count / sum_all_voxels) * 100; (2) Normalize by area: obj_portion_normed_towedge = obj_perc_per_wedge / mask_fraction_per_wedge; (3) Create weighted sample by repeating each wedge index according to normalized occupancy*100; (4) Compute mean of this weighted sample.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram MEAN of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
XY_wedges_hist_median,Histogram median derived from angular wedge occupancy profile for object.,"Converts per-wedge voxel counts into a single descriptor of angular distribution. For example, hist_mean indicates the weighted average angular direction of object localization.",Source metric: `XY_obj_vox_cnt_perwedge` from organelle_distribution_metrics. Derivation: (1) Compute obj_perc_per_wedge = (voxel_count / sum_all_voxels) * 100; (2) Normalize by area: obj_portion_normed_towedge = obj_perc_per_wedge / mask_fraction_per_wedge; (3) Create weighted sample by repeating each wedge index according to normalized occupancy*100; (4) Compute median of this weighted sample.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram MEDIAN of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
XY_wedges_hist_mode,Histogram mode derived from angular wedge occupancy profile for object.,"Converts per-wedge voxel counts into a single descriptor of angular distribution. For example, hist_mean indicates the weighted average angular direction of object localization.",Source metric: `XY_obj_vox_cnt_perwedge` from organelle_distribution_metrics. Derivation: (1) Compute obj_perc_per_wedge = (voxel_count / sum_all_voxels) * 100; (2) Normalize by area: obj_portion_normed_towedge = obj_perc_per_wedge / mask_fraction_per_wedge; (3) Create weighted sample by repeating each wedge index according to normalized occupancy*100; (4) Compute mode of this weighted sample.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram MODE of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
XY_wedges_hist_min,Histogram min derived from angular wedge occupancy profile for object.,"Converts per-wedge voxel counts into a single descriptor of angular distribution. For example, hist_mean indicates the weighted average angular direction of object localization.",Source metric: `XY_obj_vox_cnt_perwedge` from organelle_distribution_metrics. Derivation: (1) Compute obj_perc_per_wedge = (voxel_count / sum_all_voxels) * 100; (2) Normalize by area: obj_portion_normed_towedge = obj_perc_per_wedge / mask_fraction_per_wedge; (3) Create weighted sample by repeating each wedge index according to normalized occupancy*100; (4) Compute min of this weighted sample.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram MIN of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
XY_wedges_hist_max,Histogram max derived from angular wedge occupancy profile for object.,"Converts per-wedge voxel counts into a single descriptor of angular distribution. For example, hist_mean indicates the weighted average angular direction of object localization.",Source metric: `XY_obj_vox_cnt_perwedge` from organelle_distribution_metrics. Derivation: (1) Compute obj_perc_per_wedge = (voxel_count / sum_all_voxels) * 100; (2) Normalize by area: obj_portion_normed_towedge = obj_perc_per_wedge / mask_fraction_per_wedge; (3) Create weighted sample by repeating each wedge index according to normalized occupancy*100; (4) Compute max of this weighted sample.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram MAX of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
XY_wedges_hist_range,Histogram range derived from angular wedge occupancy profile for object.,"Converts per-wedge voxel counts into a single descriptor of angular distribution. For example, hist_mean indicates the weighted average angular direction of object localization.",Source metric: `XY_obj_vox_cnt_perwedge` from organelle_distribution_metrics. Derivation: (1) Compute obj_perc_per_wedge = (voxel_count / sum_all_voxels) * 100; (2) Normalize by area: obj_portion_normed_towedge = obj_perc_per_wedge / mask_fraction_per_wedge; (3) Create weighted sample by repeating each wedge index according to normalized occupancy*100; (4) Compute range of this weighted sample.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram RANGE of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
XY_wedges_hist_stdev,Histogram stdev derived from angular wedge occupancy profile for object.,"Converts per-wedge voxel counts into a single descriptor of angular distribution. For example, hist_mean indicates the weighted average angular direction of object localization.",Source metric: `XY_obj_vox_cnt_perwedge` from organelle_distribution_metrics. Derivation: (1) Compute obj_perc_per_wedge = (voxel_count / sum_all_voxels) * 100; (2) Normalize by area: obj_portion_normed_towedge = obj_perc_per_wedge / mask_fraction_per_wedge; (3) Create weighted sample by repeating each wedge index according to normalized occupancy*100; (4) Compute stdev of this weighted sample.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram STDEV of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
XY_wedges_hist_skew,Histogram skew derived from angular wedge occupancy profile for object.,"Converts per-wedge voxel counts into a single descriptor of angular distribution. For example, hist_mean indicates the weighted average angular direction of object localization.",Source metric: `XY_obj_vox_cnt_perwedge` from organelle_distribution_metrics. Derivation: (1) Compute obj_perc_per_wedge = (voxel_count / sum_all_voxels) * 100; (2) Normalize by area: obj_portion_normed_towedge = obj_perc_per_wedge / mask_fraction_per_wedge; (3) Create weighted sample by repeating each wedge index according to normalized occupancy*100; (4) Compute skew of this weighted sample.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram SKEW of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
XY_wedges_hist_kurtosis,Histogram kurtosis derived from angular wedge occupancy profile for object.,"Converts per-wedge voxel counts into a single descriptor of angular distribution. For example, hist_mean indicates the weighted average angular direction of object localization.",Source metric: `XY_obj_vox_cnt_perwedge` from organelle_distribution_metrics. Derivation: (1) Compute obj_perc_per_wedge = (voxel_count / sum_all_voxels) * 100; (2) Normalize by area: obj_portion_normed_towedge = obj_perc_per_wedge / mask_fraction_per_wedge; (3) Create weighted sample by repeating each wedge index according to normalized occupancy*100; (4) Compute kurtosis of this weighted sample.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram KURTOSIS of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
XY_wedges_hist_var,Histogram var derived from angular wedge occupancy profile for object.,"Converts per-wedge voxel counts into a single descriptor of angular distribution. For example, hist_mean indicates the weighted average angular direction of object localization.",Source metric: `XY_obj_vox_cnt_perwedge` from organelle_distribution_metrics. Derivation: (1) Compute obj_perc_per_wedge = (voxel_count / sum_all_voxels) * 100; (2) Normalize by area: obj_portion_normed_towedge = obj_perc_per_wedge / mask_fraction_per_wedge; (3) Create weighted sample by repeating each wedge index according to normalized occupancy*100; (4) Compute var of this weighted sample.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram VAR of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
Z_slices_hist_mean,Histogram mean derived from axial (Z-depth) occupancy profile for object.,"Converts per-slice voxel counts into a descriptor of axial localization. For example, hist_mean indicates the weighted average Z position of object localization.",Source metric: `Z_obj_vox_cnt` from organelle_distribution_metrics. Derivation: (1) Filter out zero-occupancy slices; (2) Re-normalize slice indices to 1-10 scale; (3) Group by renormalized index; (4) Compute obj_perc_per_slice = (voxel_count / sum_all_voxels) * 100; (5) Normalize by area; (6) Create weighted sample; (7) Compute mean of this weighted sample.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram MEAN of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
Z_slices_hist_median,Histogram median derived from axial (Z-depth) occupancy profile for object.,"Converts per-slice voxel counts into a descriptor of axial localization. For example, hist_mean indicates the weighted average Z position of object localization.",Source metric: `Z_obj_vox_cnt` from organelle_distribution_metrics. Derivation: (1) Filter out zero-occupancy slices; (2) Re-normalize slice indices to 1-10 scale; (3) Group by renormalized index; (4) Compute obj_perc_per_slice = (voxel_count / sum_all_voxels) * 100; (5) Normalize by area; (6) Create weighted sample; (7) Compute median of this weighted sample.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram MEDIAN of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
Z_slices_hist_mode,Histogram mode derived from axial (Z-depth) occupancy profile for object.,"Converts per-slice voxel counts into a descriptor of axial localization. For example, hist_mean indicates the weighted average Z position of object localization.",Source metric: `Z_obj_vox_cnt` from organelle_distribution_metrics. Derivation: (1) Filter out zero-occupancy slices; (2) Re-normalize slice indices to 1-10 scale; (3) Group by renormalized index; (4) Compute obj_perc_per_slice = (voxel_count / sum_all_voxels) * 100; (5) Normalize by area; (6) Create weighted sample; (7) Compute mode of this weighted sample.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram MODE of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
Z_slices_hist_min,Histogram min derived from axial (Z-depth) occupancy profile for object.,"Converts per-slice voxel counts into a descriptor of axial localization. For example, hist_mean indicates the weighted average Z position of object localization.",Source metric: `Z_obj_vox_cnt` from organelle_distribution_metrics. Derivation: (1) Filter out zero-occupancy slices; (2) Re-normalize slice indices to 1-10 scale; (3) Group by renormalized index; (4) Compute obj_perc_per_slice = (voxel_count / sum_all_voxels) * 100; (5) Normalize by area; (6) Create weighted sample; (7) Compute min of this weighted sample.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram MIN of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
Z_slices_hist_max,Histogram max derived from axial (Z-depth) occupancy profile for object.,"Converts per-slice voxel counts into a descriptor of axial localization. For example, hist_mean indicates the weighted average Z position of object localization.",Source metric: `Z_obj_vox_cnt` from organelle_distribution_metrics. Derivation: (1) Filter out zero-occupancy slices; (2) Re-normalize slice indices to 1-10 scale; (3) Group by renormalized index; (4) Compute obj_perc_per_slice = (voxel_count / sum_all_voxels) * 100; (5) Normalize by area; (6) Create weighted sample; (7) Compute max of this weighted sample.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram MAX of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
Z_slices_hist_range,Histogram range derived from axial (Z-depth) occupancy profile for object.,"Converts per-slice voxel counts into a descriptor of axial localization. For example, hist_mean indicates the weighted average Z position of object localization.",Source metric: `Z_obj_vox_cnt` from organelle_distribution_metrics. Derivation: (1) Filter out zero-occupancy slices; (2) Re-normalize slice indices to 1-10 scale; (3) Group by renormalized index; (4) Compute obj_perc_per_slice = (voxel_count / sum_all_voxels) * 100; (5) Normalize by area; (6) Create weighted sample; (7) Compute range of this weighted sample.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram RANGE of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
Z_slices_hist_stdev,Histogram stdev derived from axial (Z-depth) occupancy profile for object.,"Converts per-slice voxel counts into a descriptor of axial localization. For example, hist_mean indicates the weighted average Z position of object localization.",Source metric: `Z_obj_vox_cnt` from organelle_distribution_metrics. Derivation: (1) Filter out zero-occupancy slices; (2) Re-normalize slice indices to 1-10 scale; (3) Group by renormalized index; (4) Compute obj_perc_per_slice = (voxel_count / sum_all_voxels) * 100; (5) Normalize by area; (6) Create weighted sample; (7) Compute stdev of this weighted sample.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram STDEV of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
Z_slices_hist_skew,Histogram skew derived from axial (Z-depth) occupancy profile for object.,"Converts per-slice voxel counts into a descriptor of axial localization. For example, hist_mean indicates the weighted average Z position of object localization.",Source metric: `Z_obj_vox_cnt` from organelle_distribution_metrics. Derivation: (1) Filter out zero-occupancy slices; (2) Re-normalize slice indices to 1-10 scale; (3) Group by renormalized index; (4) Compute obj_perc_per_slice = (voxel_count / sum_all_voxels) * 100; (5) Normalize by area; (6) Create weighted sample; (7) Compute skew of this weighted sample.,"numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; pandas (groupby, agg, merge)","Histogram SKEW of spatial occupancy profiles provides a single interpretable summary of organelle localization patterns. For example, histogram mean indicates the weighted average position of organelle localization, while histogram variance captures the spread of this distribution. These statistics compress high-dimensional spatial data into biologically interpretable descriptors."
