column_name,what_it_measures,why_included_in_analysis,how_value_is_computed,computation_tools,narrative_summary
SA_to_volume_ratio,Surface-area-to-volume ratio per object.,Summarizes compactness/shape complexity and can reveal remodeling phenotypes.,`surface_area / volume` for each object instance.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","The surface-area-to-volume ratio quantifies organelle compactness, with high values indicating more ramified or reticulated structures and low values indicating compact, globular morphologies. This dimensionless ratio is a sensitive indicator of organelle remodeling and provides a robust shape descriptor independent of overall size."
equivalent_diameter,Equivalent-sphere diameter of the object.,Provides intuitive size interpretation comparable across object classes.,scikit-image regionprops equivalent diameter from measured area/volume.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","The equivalent diameter defines organelle size as the diameter of a sphere with equivalent volume, providing an intuitive, scale-independent size measure comparable across diverse organelle classes and experimental conditions."
extent,Fraction of object bounding box occupied by object voxels.,Captures packing/occupancy and broad shape changes.,`object_volume / bounding_box_volume` from regionprops outputs.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Extent quantifies the packing efficiency of segmented organelles within their bounding boxes, with values near unity indicating compact morphologies and lower values indicating irregular, dendritic, or fragmented structures. This metric is sensitive to stress-induced fragmentation and reticulation."
euler_number,Euler characteristic (topology) of object segmentation.,Detects topological complexity such as holes/disconnected structure.,scikit-image regionprops Euler number on each labeled instance.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","The Euler characteristic captures topological complexity of organelle segmentations, with positive values indicating connected structures, zero values indicating structures with holes, and negative values indicating highly branched or disconnected networks. This metric quantifies organelle fragmentation and network complexity."
solidity,Solidity (volume relative to convex hull).,Highlights irregularity/concavity in organelle morphology.,`object_volume / convex_hull_volume` via regionprops metrics.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Solidity measures the concavity of organelle geometry as the ratio of organelle volume to its convex hull, ranging from 0 (maximally concave) to 1 (perfectly convex). This metric is particularly sensitive to stress-induced organelle remodeling and fragmentation."
axis_major_length,Major-axis length of fitted object shape.,Captures elongation and orientation-related morphology changes.,scikit-image regionprops major-axis length on each labeled object.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","The major axis length quantifies organelle elongation, capturing anisotropy in shape. Elongated organelles may indicate active biogenesis, stress response, or fusion events, making this metric relevant for understanding organelle dynamics."
min_intensity-mito-ch,Minimum voxel intensity inside each object for the mito channel.,Reports dimmest localized signal and helps characterize channel-specific organelle heterogeneity.,"Per labeled object, infer-subc passes channel intensities to regionprops and records `min_intensity`.","scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","The minimum intensity within each mito-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
min_intensity-lyso-ch,Minimum voxel intensity inside each object for the lyso channel.,Reports dimmest localized signal and helps characterize channel-specific organelle heterogeneity.,"Per labeled object, infer-subc passes channel intensities to regionprops and records `min_intensity`.","scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","The minimum intensity within each lyso-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
min_intensity-golgi-ch,Minimum voxel intensity inside each object for the golgi channel.,Reports dimmest localized signal and helps characterize channel-specific organelle heterogeneity.,"Per labeled object, infer-subc passes channel intensities to regionprops and records `min_intensity`.","scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","The minimum intensity within each golgi-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
min_intensity-perox-ch,Minimum voxel intensity inside each object for the perox channel.,Reports dimmest localized signal and helps characterize channel-specific organelle heterogeneity.,"Per labeled object, infer-subc passes channel intensities to regionprops and records `min_intensity`.","scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","The minimum intensity within each perox-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
min_intensity-ER-ch,Minimum voxel intensity inside each object for the ER channel.,Reports dimmest localized signal and helps characterize channel-specific organelle heterogeneity.,"Per labeled object, infer-subc passes channel intensities to regionprops and records `min_intensity`.","scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","The minimum intensity within each ER-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
min_intensity-LD-ch,Minimum voxel intensity inside each object for the LD channel.,Reports dimmest localized signal and helps characterize channel-specific organelle heterogeneity.,"Per labeled object, infer-subc passes channel intensities to regionprops and records `min_intensity`.","scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","The minimum intensity within each LD-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
max_intensity-mito-ch,Maximum voxel intensity inside each object for the mito channel.,Captures bright puncta/extrema that may indicate localized enrichment.,"Per labeled object, regionprops `max_intensity` is extracted for that channel.","scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Maximum intensity values identify bright puncta or enriched regions within mito-positive organelles, potentially indicating concentrated fluorophore labeling or locally enhanced molecular interactions."
max_intensity-lyso-ch,Maximum voxel intensity inside each object for the lyso channel.,Captures bright puncta/extrema that may indicate localized enrichment.,"Per labeled object, regionprops `max_intensity` is extracted for that channel.","scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Maximum intensity values identify bright puncta or enriched regions within lyso-positive organelles, potentially indicating concentrated fluorophore labeling or locally enhanced molecular interactions."
max_intensity-golgi-ch,Maximum voxel intensity inside each object for the golgi channel.,Captures bright puncta/extrema that may indicate localized enrichment.,"Per labeled object, regionprops `max_intensity` is extracted for that channel.","scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Maximum intensity values identify bright puncta or enriched regions within golgi-positive organelles, potentially indicating concentrated fluorophore labeling or locally enhanced molecular interactions."
max_intensity-perox-ch,Maximum voxel intensity inside each object for the perox channel.,Captures bright puncta/extrema that may indicate localized enrichment.,"Per labeled object, regionprops `max_intensity` is extracted for that channel.","scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Maximum intensity values identify bright puncta or enriched regions within perox-positive organelles, potentially indicating concentrated fluorophore labeling or locally enhanced molecular interactions."
max_intensity-ER-ch,Maximum voxel intensity inside each object for the ER channel.,Captures bright puncta/extrema that may indicate localized enrichment.,"Per labeled object, regionprops `max_intensity` is extracted for that channel.","scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Maximum intensity values identify bright puncta or enriched regions within ER-positive organelles, potentially indicating concentrated fluorophore labeling or locally enhanced molecular interactions."
max_intensity-LD-ch,Maximum voxel intensity inside each object for the LD channel.,Captures bright puncta/extrema that may indicate localized enrichment.,"Per labeled object, regionprops `max_intensity` is extracted for that channel.","scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Maximum intensity values identify bright puncta or enriched regions within LD-positive organelles, potentially indicating concentrated fluorophore labeling or locally enhanced molecular interactions."
mean_intensity-mito-ch,Mean voxel intensity inside each object for the mito channel.,Summarizes average fluorophore signal associated with each segmented structure.,"Per labeled object, regionprops `mean_intensity` over the object mask.","scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Mean intensity quantifies average mito-channel fluorescence per organelle, providing an integrated measure of molecular content and labeling intensity. This metric reflects both molecular abundance and local concentration."
mean_intensity-lyso-ch,Mean voxel intensity inside each object for the lyso channel.,Summarizes average fluorophore signal associated with each segmented structure.,"Per labeled object, regionprops `mean_intensity` over the object mask.","scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Mean intensity quantifies average lyso-channel fluorescence per organelle, providing an integrated measure of molecular content and labeling intensity. This metric reflects both molecular abundance and local concentration."
mean_intensity-golgi-ch,Mean voxel intensity inside each object for the golgi channel.,Summarizes average fluorophore signal associated with each segmented structure.,"Per labeled object, regionprops `mean_intensity` over the object mask.","scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Mean intensity quantifies average golgi-channel fluorescence per organelle, providing an integrated measure of molecular content and labeling intensity. This metric reflects both molecular abundance and local concentration."
mean_intensity-perox-ch,Mean voxel intensity inside each object for the perox channel.,Summarizes average fluorophore signal associated with each segmented structure.,"Per labeled object, regionprops `mean_intensity` over the object mask.","scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Mean intensity quantifies average perox-channel fluorescence per organelle, providing an integrated measure of molecular content and labeling intensity. This metric reflects both molecular abundance and local concentration."
mean_intensity-ER-ch,Mean voxel intensity inside each object for the ER channel.,Summarizes average fluorophore signal associated with each segmented structure.,"Per labeled object, regionprops `mean_intensity` over the object mask.","scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Mean intensity quantifies average ER-channel fluorescence per organelle, providing an integrated measure of molecular content and labeling intensity. This metric reflects both molecular abundance and local concentration."
mean_intensity-LD-ch,Mean voxel intensity inside each object for the LD channel.,Summarizes average fluorophore signal associated with each segmented structure.,"Per labeled object, regionprops `mean_intensity` over the object mask.","scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Mean intensity quantifies average LD-channel fluorescence per organelle, providing an integrated measure of molecular content and labeling intensity. This metric reflects both molecular abundance and local concentration."
standard_deviation_intensity-mito-ch,Within-object intensity variability for the mito channel.,"Measures intra-object heterogeneity, useful for identifying uneven labeling/organization.",Infer-subc custom extra property computes `np.std(intensities[region])` for each labeled object.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Intensity standard deviation within organelles captures heterogeneity in mito-channel labeling, indicating uneven spatial distribution of molecular content or variable fluorophore binding."
standard_deviation_intensity-lyso-ch,Within-object intensity variability for the lyso channel.,"Measures intra-object heterogeneity, useful for identifying uneven labeling/organization.",Infer-subc custom extra property computes `np.std(intensities[region])` for each labeled object.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Intensity standard deviation within organelles captures heterogeneity in lyso-channel labeling, indicating uneven spatial distribution of molecular content or variable fluorophore binding."
standard_deviation_intensity-golgi-ch,Within-object intensity variability for the golgi channel.,"Measures intra-object heterogeneity, useful for identifying uneven labeling/organization.",Infer-subc custom extra property computes `np.std(intensities[region])` for each labeled object.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Intensity standard deviation within organelles captures heterogeneity in golgi-channel labeling, indicating uneven spatial distribution of molecular content or variable fluorophore binding."
standard_deviation_intensity-perox-ch,Within-object intensity variability for the perox channel.,"Measures intra-object heterogeneity, useful for identifying uneven labeling/organization.",Infer-subc custom extra property computes `np.std(intensities[region])` for each labeled object.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Intensity standard deviation within organelles captures heterogeneity in perox-channel labeling, indicating uneven spatial distribution of molecular content or variable fluorophore binding."
standard_deviation_intensity-ER-ch,Within-object intensity variability for the ER channel.,"Measures intra-object heterogeneity, useful for identifying uneven labeling/organization.",Infer-subc custom extra property computes `np.std(intensities[region])` for each labeled object.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Intensity standard deviation within organelles captures heterogeneity in ER-channel labeling, indicating uneven spatial distribution of molecular content or variable fluorophore binding."
standard_deviation_intensity-LD-ch,Within-object intensity variability for the LD channel.,"Measures intra-object heterogeneity, useful for identifying uneven labeling/organization.",Infer-subc custom extra property computes `np.std(intensities[region])` for each labeled object.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Intensity standard deviation within organelles captures heterogeneity in LD-channel labeling, indicating uneven spatial distribution of molecular content or variable fluorophore binding."
sum_intensity-mito-ch,Integrated intensity proxy for the mito channel per object.,Approximates total channel-associated signal per segmented structure.,Infer-subc computes `sum_intensity = mean_intensity * volume` per object.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Total integrated mito-channel intensity per organelle provides a proxy for total molecular content, combining information about organelle size and mean labeling intensity."
sum_intensity-lyso-ch,Integrated intensity proxy for the lyso channel per object.,Approximates total channel-associated signal per segmented structure.,Infer-subc computes `sum_intensity = mean_intensity * volume` per object.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Total integrated lyso-channel intensity per organelle provides a proxy for total molecular content, combining information about organelle size and mean labeling intensity."
sum_intensity-golgi-ch,Integrated intensity proxy for the golgi channel per object.,Approximates total channel-associated signal per segmented structure.,Infer-subc computes `sum_intensity = mean_intensity * volume` per object.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Total integrated golgi-channel intensity per organelle provides a proxy for total molecular content, combining information about organelle size and mean labeling intensity."
sum_intensity-perox-ch,Integrated intensity proxy for the perox channel per object.,Approximates total channel-associated signal per segmented structure.,Infer-subc computes `sum_intensity = mean_intensity * volume` per object.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Total integrated perox-channel intensity per organelle provides a proxy for total molecular content, combining information about organelle size and mean labeling intensity."
sum_intensity-ER-ch,Integrated intensity proxy for the ER channel per object.,Approximates total channel-associated signal per segmented structure.,Infer-subc computes `sum_intensity = mean_intensity * volume` per object.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Total integrated ER-channel intensity per organelle provides a proxy for total molecular content, combining information about organelle size and mean labeling intensity."
sum_intensity-LD-ch,Integrated intensity proxy for the LD channel per object.,Approximates total channel-associated signal per segmented structure.,Infer-subc computes `sum_intensity = mean_intensity * volume` per object.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology","Total integrated LD-channel intensity per organelle provides a proxy for total molecular content, combining information about organelle size and mean labeling intensity."
cell_volume,Total volume of the reference region `cell` used for normalization.,Enables meaningful volume fractions (for example organelle volume per cell volume).,Computed from the selected mask segmentation as the mask object's area/volume with same scaling used for object metrics.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology",total volume of the reference region `cell` used for normalization. enables meaningful volume fractions (for example organelle volume per cell volume)
nuc_volume,Total volume of the reference region `nuc` used for normalization.,Enables meaningful volume fractions (for example organelle volume per cell volume).,Computed from the selected mask segmentation as the mask object's area/volume with same scaling used for object metrics.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology",total volume of the reference region `nuc` used for normalization. enables meaningful volume fractions (for example organelle volume per cell volume)
cytoplasm_volume,Total volume of the reference region `cytoplasm` used for normalization.,Enables meaningful volume fractions (for example organelle volume per cell volume).,Computed from the selected mask segmentation as the mask object's area/volume with same scaling used for object metrics.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology",total volume of the reference region `cytoplasm` used for normalization. enables meaningful volume fractions (for example organelle volume per cell volume)
whole_image_volume,Total volume of the reference region `whole_image` used for normalization.,Enables meaningful volume fractions (for example organelle volume per cell volume).,Computed from the selected mask segmentation as the mask object's area/volume with same scaling used for object metrics.,"scikit-image (regionprops_table, label); numpy; infer-subc.quantification.morphology",total volume of the reference region `whole_image` used for normalization. enables meaningful volume fractions (for example organelle volume per cell volume)
