total_perox_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_ER_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_LD_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
fraction_mito_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
fraction_lyso_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
fraction_golgi_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
fraction_perox_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
fraction_ER_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
fraction_LD_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
mean_mito_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
mean_lyso_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
mean_golgi_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
mean_perox_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
mean_ER_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
mean_LD_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
median_mito_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
median_lyso_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
median_golgi_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
median_perox_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
median_ER_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
median_LD_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
std_mito_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
std_lyso_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
std_golgi_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
std_perox_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
std_ER_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
std_LD_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_cell_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_nuc_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_cytoplasm_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_mitoXlyso_sites,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_mitoXgolgi_sites,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_mitoXperox_sites,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_mitoXER_sites,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_mitoXLD_sites,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_lysoXperox_sites,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_lysoXER_sites,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_golgiXER_sites,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_peroxXER_sites,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_mitoXlysoXER_sites,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_mitoXlyso_sites_in_higher_order,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_mitoXgolgi_sites_in_higher_order,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_mitoXperox_sites_in_higher_order,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_mitoXER_sites_in_higher_order,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_mitoXLD_sites_in_higher_order,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_lysoXperox_sites_in_higher_order,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_lysoXER_sites_in_higher_order,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_golgiXER_sites_in_higher_order,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_peroxXER_sites_in_higher_order,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
count_mitoXlysoXER_sites_in_higher_order,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
