column_name,what_it_measures,why_included_in_analysis,how_value_is_computed,computation_tools,narrative_summary
"volume,std",STD of `volume` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(std) on `volume` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The STD of volume values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"surface_area,sum",SUM of `surface_area` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(sum) on `surface_area` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The SUM of surface_area values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"surface_area,mean",MEAN of `surface_area` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(mean) on `surface_area` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The MEAN of surface_area values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"surface_area,median",MEDIAN of `surface_area` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(median) on `surface_area` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The MEDIAN of surface_area values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"surface_area,std",STD of `surface_area` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(std) on `surface_area` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The STD of surface_area values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"SA_to_volume_ratio,mean",MEAN of `SA_to_volume_ratio` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(mean) on `SA_to_volume_ratio` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The MEAN of SA_to_volume_ratio values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"SA_to_volume_ratio,median",MEDIAN of `SA_to_volume_ratio` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(median) on `SA_to_volume_ratio` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The MEDIAN of SA_to_volume_ratio values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"SA_to_volume_ratio,std",STD of `SA_to_volume_ratio` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(std) on `SA_to_volume_ratio` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The STD of SA_to_volume_ratio values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"equivalent_diameter,mean",MEAN of `equivalent_diameter` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(mean) on `equivalent_diameter` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The MEAN of equivalent_diameter values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"equivalent_diameter,median",MEDIAN of `equivalent_diameter` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(median) on `equivalent_diameter` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The MEDIAN of equivalent_diameter values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"equivalent_diameter,std",STD of `equivalent_diameter` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(std) on `equivalent_diameter` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The STD of equivalent_diameter values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"extent,mean",MEAN of `extent` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(mean) on `extent` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The MEAN of extent values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"extent,median",MEDIAN of `extent` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(median) on `extent` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The MEDIAN of extent values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"extent,std",STD of `extent` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(std) on `extent` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The STD of extent values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"euler_number,mean",MEAN of `euler_number` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(mean) on `euler_number` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The MEAN of euler_number values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"euler_number,median",MEDIAN of `euler_number` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(median) on `euler_number` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The MEDIAN of euler_number values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"euler_number,std",STD of `euler_number` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(std) on `euler_number` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The STD of euler_number values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"solidity,mean",MEAN of `solidity` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(mean) on `solidity` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The MEAN of solidity values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"solidity,median",MEDIAN of `solidity` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(median) on `solidity` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The MEDIAN of solidity values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"solidity,std",STD of `solidity` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(std) on `solidity` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The STD of solidity values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"axis_major_length,mean",MEAN of `axis_major_length` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(mean) on `axis_major_length` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The MEAN of axis_major_length values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"axis_major_length,median",MEDIAN of `axis_major_length` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(median) on `axis_major_length` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The MEDIAN of axis_major_length values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"axis_major_length,std",STD of `axis_major_length` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(std) on `axis_major_length` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The STD of axis_major_length values aggregates object-level measurements into per-image summaries, reducing object-level heterogeneity into interpretable image-level descriptors. These aggregated statistics enable comparative phenotyping across experimental conditions."
"min_intensity-mito-ch,mean",MEAN of `min_intensity-mito-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(mean) on `min_intensity-mito-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The minimum intensity within each mito-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
"min_intensity-lyso-ch,mean",MEAN of `min_intensity-lyso-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(mean) on `min_intensity-lyso-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The minimum intensity within each lyso-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
"min_intensity-golgi-ch,mean",MEAN of `min_intensity-golgi-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(mean) on `min_intensity-golgi-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The minimum intensity within each golgi-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
"min_intensity-perox-ch,mean",MEAN of `min_intensity-perox-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(mean) on `min_intensity-perox-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The minimum intensity within each perox-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
"min_intensity-ER-ch,mean",MEAN of `min_intensity-ER-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(mean) on `min_intensity-ER-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The minimum intensity within each ER-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
"min_intensity-LD-ch,mean",MEAN of `min_intensity-LD-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(mean) on `min_intensity-LD-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The minimum intensity within each LD-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
"min_intensity-mito-ch,median",MEDIAN of `min_intensity-mito-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(median) on `min_intensity-mito-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The minimum intensity within each mito-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
"min_intensity-lyso-ch,median",MEDIAN of `min_intensity-lyso-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(median) on `min_intensity-lyso-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The minimum intensity within each lyso-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
"min_intensity-golgi-ch,median",MEDIAN of `min_intensity-golgi-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(median) on `min_intensity-golgi-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The minimum intensity within each golgi-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
"min_intensity-perox-ch,median",MEDIAN of `min_intensity-perox-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(median) on `min_intensity-perox-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The minimum intensity within each perox-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
"min_intensity-ER-ch,median",MEDIAN of `min_intensity-ER-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(median) on `min_intensity-ER-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The minimum intensity within each ER-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
"min_intensity-LD-ch,median",MEDIAN of `min_intensity-LD-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(median) on `min_intensity-LD-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The minimum intensity within each LD-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
"min_intensity-mito-ch,std",STD of `min_intensity-mito-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(std) on `min_intensity-mito-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The minimum intensity within each mito-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
"min_intensity-lyso-ch,std",STD of `min_intensity-lyso-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(std) on `min_intensity-lyso-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The minimum intensity within each lyso-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
"min_intensity-golgi-ch,std",STD of `min_intensity-golgi-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(std) on `min_intensity-golgi-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The minimum intensity within each golgi-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
"min_intensity-perox-ch,std",STD of `min_intensity-perox-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(std) on `min_intensity-perox-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The minimum intensity within each perox-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
"min_intensity-ER-ch,std",STD of `min_intensity-ER-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(std) on `min_intensity-ER-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The minimum intensity within each ER-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
"min_intensity-LD-ch,std",STD of `min_intensity-LD-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(std) on `min_intensity-LD-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","The minimum intensity within each LD-channel-positive organelle identifies dimly staining regions, potentially indicating uneven fluorophore distribution or heterogeneous biochemical composition. This metric captures organelle-level heterogeneity in molecular content."
"max_intensity-mito-ch,mean",MEAN of `max_intensity-mito-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(mean) on `max_intensity-mito-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","Maximum intensity values identify bright puncta or enriched regions within mito-positive organelles, potentially indicating concentrated fluorophore labeling or locally enhanced molecular interactions."
"max_intensity-lyso-ch,mean",MEAN of `max_intensity-lyso-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(mean) on `max_intensity-lyso-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","Maximum intensity values identify bright puncta or enriched regions within lyso-positive organelles, potentially indicating concentrated fluorophore labeling or locally enhanced molecular interactions."
"max_intensity-golgi-ch,mean",MEAN of `max_intensity-golgi-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(mean) on `max_intensity-golgi-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","Maximum intensity values identify bright puncta or enriched regions within golgi-positive organelles, potentially indicating concentrated fluorophore labeling or locally enhanced molecular interactions."
"max_intensity-perox-ch,mean",MEAN of `max_intensity-perox-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(mean) on `max_intensity-perox-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","Maximum intensity values identify bright puncta or enriched regions within perox-positive organelles, potentially indicating concentrated fluorophore labeling or locally enhanced molecular interactions."
"max_intensity-ER-ch,mean",MEAN of `max_intensity-ER-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(mean) on `max_intensity-ER-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","Maximum intensity values identify bright puncta or enriched regions within ER-positive organelles, potentially indicating concentrated fluorophore labeling or locally enhanced molecular interactions."
"max_intensity-LD-ch,mean",MEAN of `max_intensity-LD-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(mean) on `max_intensity-LD-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","Maximum intensity values identify bright puncta or enriched regions within LD-positive organelles, potentially indicating concentrated fluorophore labeling or locally enhanced molecular interactions."
"max_intensity-mito-ch,median",MEDIAN of `max_intensity-mito-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(median) on `max_intensity-mito-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","Maximum intensity values identify bright puncta or enriched regions within mito-positive organelles, potentially indicating concentrated fluorophore labeling or locally enhanced molecular interactions."
"max_intensity-lyso-ch,median",MEDIAN of `max_intensity-lyso-ch` aggregated at per-image/per-mask level.,Reduces object-level measurements to image-level phenotypes for biological comparison.,"Source: raw metrics table (e.g., organelle_morphology_metrics). Computation: pandas groupby(median) on `max_intensity-lyso-ch` per (dataset, image_name, mask_name, scale, object).","pandas (groupby, agg, merge)","Maximum intensity values identify bright puncta or enriched regions within lyso-positive organelles, potentially indicating concentrated fluorophore labeling or locally enhanced molecular interactions."
