column_name,what_it_measures,why_included_in_analysis,how_value_is_computed,computation_tools,narrative_summary
voxel_count_with_5_orgs(s),Number of voxels in region where exactly 5 organelle classes overlap.,Quantifies local interaction complexity (contact degree) within biological compartments.,Construct degree image by summing binary organelle masks; count voxels where degree == 5 after region masking.,infer-subc.quantification.interactions; numpy; infer-subc.quantification.interactions.create_interaction_degrees,Interaction-degree metrics quantify the spatial extent of colocalization where exactly 5 distinct organelle classes overlap. These measurements reveal multi-organelle interaction networks and are particularly sensitive to stress conditions that alter organellar contacts and membrane dynamics.
voxel_count_with_6_orgs(s),Number of voxels in region where exactly 6 organelle classes overlap.,Quantifies local interaction complexity (contact degree) within biological compartments.,Construct degree image by summing binary organelle masks; count voxels where degree == 6 after region masking.,infer-subc.quantification.interactions; numpy; infer-subc.quantification.interactions.create_interaction_degrees,Interaction-degree metrics quantify the spatial extent of colocalization where exactly 6 distinct organelle classes overlap. These measurements reveal multi-organelle interaction networks and are particularly sensitive to stress conditions that alter organellar contacts and membrane dynamics.
voxel_count_region,Total voxel count in analyzed region (mask scope).,Provides denominator/context for occupancy and interaction-degree metrics.,`count_nonzero(masked_region > 0)` in infer-subc interaction-degree routine.,infer-subc.quantification.interactions; numpy; infer-subc.quantification.interactions.create_interaction_degrees,Reference region measurements provide the spatial context and normalization baseline for interpreting interaction and localization metrics. These volumes define the total compartment available for organelle occupancy.
volume_with_0_org(s),Physical volume where exactly 0 organelle classes overlap.,Converts overlap degree counts to physically interpretable interaction-space volume.,`voxel_count_with_0_org(s) * (scale_z * scale_y * scale_x)`.,infer-subc.quantification.interactions; numpy; infer-subc.quantification.interactions.create_interaction_degrees,Interaction-degree metrics quantify the spatial extent of colocalization where exactly 0 distinct organelle classes overlap. These measurements reveal multi-organelle interaction networks and are particularly sensitive to stress conditions that alter organellar contacts and membrane dynamics.
volume_with_1_orgs(s),Physical volume where exactly 1 organelle classes overlap.,Converts overlap degree counts to physically interpretable interaction-space volume.,`voxel_count_with_1_org(s) * (scale_z * scale_y * scale_x)`.,infer-subc.quantification.interactions; numpy; infer-subc.quantification.interactions.create_interaction_degrees,Interaction-degree metrics quantify the spatial extent of colocalization where exactly 1 distinct organelle classes overlap. These measurements reveal multi-organelle interaction networks and are particularly sensitive to stress conditions that alter organellar contacts and membrane dynamics.
volume_with_2_orgs(s),Physical volume where exactly 2 organelle classes overlap.,Converts overlap degree counts to physically interpretable interaction-space volume.,`voxel_count_with_2_org(s) * (scale_z * scale_y * scale_x)`.,infer-subc.quantification.interactions; numpy; infer-subc.quantification.interactions.create_interaction_degrees,Interaction-degree metrics quantify the spatial extent of colocalization where exactly 2 distinct organelle classes overlap. These measurements reveal multi-organelle interaction networks and are particularly sensitive to stress conditions that alter organellar contacts and membrane dynamics.
volume_with_3_orgs(s),Physical volume where exactly 3 organelle classes overlap.,Converts overlap degree counts to physically interpretable interaction-space volume.,`voxel_count_with_3_org(s) * (scale_z * scale_y * scale_x)`.,infer-subc.quantification.interactions; numpy; infer-subc.quantification.interactions.create_interaction_degrees,Interaction-degree metrics quantify the spatial extent of colocalization where exactly 3 distinct organelle classes overlap. These measurements reveal multi-organelle interaction networks and are particularly sensitive to stress conditions that alter organellar contacts and membrane dynamics.
volume_with_4_orgs(s),Physical volume where exactly 4 organelle classes overlap.,Converts overlap degree counts to physically interpretable interaction-space volume.,`voxel_count_with_4_org(s) * (scale_z * scale_y * scale_x)`.,infer-subc.quantification.interactions; numpy; infer-subc.quantification.interactions.create_interaction_degrees,Interaction-degree metrics quantify the spatial extent of colocalization where exactly 4 distinct organelle classes overlap. These measurements reveal multi-organelle interaction networks and are particularly sensitive to stress conditions that alter organellar contacts and membrane dynamics.
volume_with_5_orgs(s),Physical volume where exactly 5 organelle classes overlap.,Converts overlap degree counts to physically interpretable interaction-space volume.,`voxel_count_with_5_org(s) * (scale_z * scale_y * scale_x)`.,infer-subc.quantification.interactions; numpy; infer-subc.quantification.interactions.create_interaction_degrees,Interaction-degree metrics quantify the spatial extent of colocalization where exactly 5 distinct organelle classes overlap. These measurements reveal multi-organelle interaction networks and are particularly sensitive to stress conditions that alter organellar contacts and membrane dynamics.
volume_with_6_orgs(s),Physical volume where exactly 6 organelle classes overlap.,Converts overlap degree counts to physically interpretable interaction-space volume.,`voxel_count_with_6_org(s) * (scale_z * scale_y * scale_x)`.,infer-subc.quantification.interactions; numpy; infer-subc.quantification.interactions.create_interaction_degrees,Interaction-degree metrics quantify the spatial extent of colocalization where exactly 6 distinct organelle classes overlap. These measurements reveal multi-organelle interaction networks and are particularly sensitive to stress conditions that alter organellar contacts and membrane dynamics.
volume_region,Total physical volume of analyzed region (mask scope).,Enables normalization and cross-image comparability in physical units.,`voxel_count_region * (scale_z * scale_y * scale_x)`.,infer-subc.quantification.interactions; numpy; infer-subc.quantification.interactions.create_interaction_degrees,Reference region measurements provide the spatial context and normalization baseline for interpreting interaction and localization metrics. These volumes define the total compartment available for organelle occupancy.
