column_name,what_it_measures,why_included_in_analysis,how_value_is_computed,computation_tools,narrative_summary
XY_whole_image_vox_cnt_perbin,Voxel count profile per radial bin in XY projection.,Core readout for radial localization of organelles/interactions within the mask.,"For each bin, infer-subc sums projected voxel counts using sparse bin indexing (`scipy.sparse.coo_matrix`).",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,voxel count profile per radial bin in XY projection. core readout for radial localization of organelles/interactions within the mask
XY_obj_vox_cnt_perbin,Voxel count profile per radial bin in XY projection.,Core readout for radial localization of organelles/interactions within the mask.,"For each bin, infer-subc sums projected voxel counts using sparse bin indexing (`scipy.sparse.coo_matrix`).",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,voxel count profile per radial bin in XY projection. core readout for radial localization of organelles/interactions within the mask
XY_center_vox_cnt_perbin,Voxel count profile per radial bin in XY projection.,Core readout for radial localization of organelles/interactions within the mask.,"For each bin, infer-subc sums projected voxel counts using sparse bin indexing (`scipy.sparse.coo_matrix`).",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,voxel count profile per radial bin in XY projection. core readout for radial localization of organelles/interactions within the mask
XY_n_pix_perbin,Number of XY pixels available in each radial bin.,Area normalization is needed so localization is not biased by bin size differences.,Per-bin pixel counts from the same bin-index matrix used for voxel counts.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,number of XY pixels available in each radial bin. area normalization is needed so localization is not biased by bin size differences
XY_portion_pix_perbin,Fraction of mask area represented by each radial bin.,Provides geometric normalization baseline for radial occupancy interpretation.,`XY_n_pix_perbin / sum(XY_n_pix_perbin)` element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,fraction of mask area represented by each radial bin. provides geometric normalization baseline for radial occupancy interpretation
XY_n_wedges,Number of angular wedges used in XY decomposition.,Captures anisotropy around the cell/region at fixed radial distance.,Fixed to 8 wedges in infer-subc distribution implementation.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,number of angular wedges used in XY decomposition. captures anisotropy around the cell/region at fixed radial distance
XY_wedges,Labels of angular wedges used for XY anisotropy analysis.,Supports interpretation of directional variation in spatial distribution.,Derived from angular index assignment around the computed center.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,labels of angular wedges used for XY anisotropy analysis. supports interpretation of directional variation in spatial distribution
XY_cell_vox_cnt_perwedge,Voxel count profile per angular wedge.,Measures directional enrichment/depletion independent of radial bins.,Per-wedge projected voxel sums computed with sparse wedge indexing.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,voxel count profile per angular wedge. measures directional enrichment/depletion independent of radial bins
XY_nuc_vox_cnt_perwedge,Voxel count profile per angular wedge.,Measures directional enrichment/depletion independent of radial bins.,Per-wedge projected voxel sums computed with sparse wedge indexing.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,voxel count profile per angular wedge. measures directional enrichment/depletion independent of radial bins
XY_cytoplasm_vox_cnt_perwedge,Voxel count profile per angular wedge.,Measures directional enrichment/depletion independent of radial bins.,Per-wedge projected voxel sums computed with sparse wedge indexing.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,voxel count profile per angular wedge. measures directional enrichment/depletion independent of radial bins
XY_whole_image_vox_cnt_perwedge,Voxel count profile per angular wedge.,Measures directional enrichment/depletion independent of radial bins.,Per-wedge projected voxel sums computed with sparse wedge indexing.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,voxel count profile per angular wedge. measures directional enrichment/depletion independent of radial bins
XY_obj_vox_cnt_perwedge,Voxel count profile per angular wedge.,Measures directional enrichment/depletion independent of radial bins.,Per-wedge projected voxel sums computed with sparse wedge indexing.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,voxel count profile per angular wedge. measures directional enrichment/depletion independent of radial bins
XY_center_vox_cnt_perwedge,Voxel count profile per angular wedge.,Measures directional enrichment/depletion independent of radial bins.,Per-wedge projected voxel sums computed with sparse wedge indexing.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,voxel count profile per angular wedge. measures directional enrichment/depletion independent of radial bins
XY_n_pix_perwedge,Number of XY pixels available in each wedge.,Normalization term for wedge occupancy comparisons.,Per-wedge pixel counts from the same wedge index map used for voxel counts.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,number of XY pixels available in each wedge. normalization term for wedge occupancy comparisons
XY_portion_pix_perwedge,Fraction of mask area represented by each wedge.,Distinguishes biological anisotropy from wedge-size geometry effects.,`XY_n_pix_perwedge / sum(XY_n_pix_perwedge)` element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,fraction of mask area represented by each wedge. distinguishes biological anisotropy from wedge-size geometry effects
XY_wedges_perbin,Wedge labels considered within each radial bin.,Supports per-bin anisotropy calculations and quality control of angular coverage.,Stored as nested wedge-index lists during per-bin wedge decomposition.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,"Radial bin occupancy profiles map organelle distribution from cell center to periphery, revealing centripetal or centrifugal localization preferences. These profiles are essential for detecting polarized organelle organization and stress-induced redistribution."
XY_cell_vox_cnt_wedges_perbin,"2D matrix of voxel counts by (radial bin, wedge).",Captures localized anisotropy as a function of radial position.,Infer-subc computes counts in each bin-wedge segment using sparse coordinate accumulation.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,"Voxel occupancy profiles quantify radial, angular, or axial localization of organelles within the cellular compartment, revealing organelle positioning relative to cellular landmarks. These spatial distributions reflect organelle-specific targeting mechanisms and functional localization requirements."
XY_nuc_vox_cnt_wedges_perbin,"2D matrix of voxel counts by (radial bin, wedge).",Captures localized anisotropy as a function of radial position.,Infer-subc computes counts in each bin-wedge segment using sparse coordinate accumulation.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,"Voxel occupancy profiles quantify radial, angular, or axial localization of organelles within the cellular compartment, revealing organelle positioning relative to cellular landmarks. These spatial distributions reflect organelle-specific targeting mechanisms and functional localization requirements."
XY_cytoplasm_vox_cnt_wedges_perbin,"2D matrix of voxel counts by (radial bin, wedge).",Captures localized anisotropy as a function of radial position.,Infer-subc computes counts in each bin-wedge segment using sparse coordinate accumulation.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,"Voxel occupancy profiles quantify radial, angular, or axial localization of organelles within the cellular compartment, revealing organelle positioning relative to cellular landmarks. These spatial distributions reflect organelle-specific targeting mechanisms and functional localization requirements."
XY_whole_image_vox_cnt_wedges_perbin,"2D matrix of voxel counts by (radial bin, wedge).",Captures localized anisotropy as a function of radial position.,Infer-subc computes counts in each bin-wedge segment using sparse coordinate accumulation.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,"Voxel occupancy profiles quantify radial, angular, or axial localization of organelles within the cellular compartment, revealing organelle positioning relative to cellular landmarks. These spatial distributions reflect organelle-specific targeting mechanisms and functional localization requirements."
XY_obj_vox_cnt_wedges_perbin,"2D matrix of voxel counts by (radial bin, wedge).",Captures localized anisotropy as a function of radial position.,Infer-subc computes counts in each bin-wedge segment using sparse coordinate accumulation.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,"Voxel occupancy profiles quantify radial, angular, or axial localization of organelles within the cellular compartment, revealing organelle positioning relative to cellular landmarks. These spatial distributions reflect organelle-specific targeting mechanisms and functional localization requirements."
XY_center_vox_cnt_wedges_perbin,"2D matrix of voxel counts by (radial bin, wedge).",Captures localized anisotropy as a function of radial position.,Infer-subc computes counts in each bin-wedge segment using sparse coordinate accumulation.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,"Voxel occupancy profiles quantify radial, angular, or axial localization of organelles within the cellular compartment, revealing organelle positioning relative to cellular landmarks. These spatial distributions reflect organelle-specific targeting mechanisms and functional localization requirements."
XY_n_pix_wedges_perbin,"2D matrix of pixel counts by (radial bin, wedge).",Normalization basis for per-bin directional coefficient-of-variation metrics.,Computed from bin-wedge segment membership map as per-segment pixel totals.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,"Radial bin occupancy profiles map organelle distribution from cell center to periphery, revealing centripetal or centrifugal localization preferences. These profiles are essential for detecting polarized organelle organization and stress-induced redistribution."
XY_cell_cv_perbin,Per-bin coefficient of variation across wedge-normalized signal.,Quantifies angular unevenness; higher values indicate stronger directional asymmetry.,"For each bin: normalize wedge counts by wedge area, then compute `std(normalized_wedges) / mean(normalized_wedges)`.",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,per-bin coefficient of variation across wedge-normalized signal. quantifies angular unevenness; higher values indicate stronger directional asymmetry
XY_nuc_cv_perbin,Per-bin coefficient of variation across wedge-normalized signal.,Quantifies angular unevenness; higher values indicate stronger directional asymmetry.,"For each bin: normalize wedge counts by wedge area, then compute `std(normalized_wedges) / mean(normalized_wedges)`.",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,per-bin coefficient of variation across wedge-normalized signal. quantifies angular unevenness; higher values indicate stronger directional asymmetry
XY_cytoplasm_cv_perbin,Per-bin coefficient of variation across wedge-normalized signal.,Quantifies angular unevenness; higher values indicate stronger directional asymmetry.,"For each bin: normalize wedge counts by wedge area, then compute `std(normalized_wedges) / mean(normalized_wedges)`.",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,per-bin coefficient of variation across wedge-normalized signal. quantifies angular unevenness; higher values indicate stronger directional asymmetry
XY_whole_image_cv_perbin,Per-bin coefficient of variation across wedge-normalized signal.,Quantifies angular unevenness; higher values indicate stronger directional asymmetry.,"For each bin: normalize wedge counts by wedge area, then compute `std(normalized_wedges) / mean(normalized_wedges)`.",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,per-bin coefficient of variation across wedge-normalized signal. quantifies angular unevenness; higher values indicate stronger directional asymmetry
XY_obj_cv_perbin,Per-bin coefficient of variation across wedge-normalized signal.,Quantifies angular unevenness; higher values indicate stronger directional asymmetry.,"For each bin: normalize wedge counts by wedge area, then compute `std(normalized_wedges) / mean(normalized_wedges)`.",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,per-bin coefficient of variation across wedge-normalized signal. quantifies angular unevenness; higher values indicate stronger directional asymmetry
XY_center_cv_perbin,Per-bin coefficient of variation across wedge-normalized signal.,Quantifies angular unevenness; higher values indicate stronger directional asymmetry.,"For each bin: normalize wedge counts by wedge area, then compute `std(normalized_wedges) / mean(normalized_wedges)`.",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,per-bin coefficient of variation across wedge-normalized signal. quantifies angular unevenness; higher values indicate stronger directional asymmetry
XY_cell_vol_perbin,Scaled physical-volume version of an XY voxel-count profile.,Converts occupancy from voxels to physical units to compare across microscopes and settings.,`XY_*_vox_cnt_* * (scale_z * scale_y * scale_x)` applied element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,scaled physical-volume version of an XY voxel-count profile. converts occupancy from voxels to physical units to compare across microscopes and settings
XY_nuc_vol_perbin,Scaled physical-volume version of an XY voxel-count profile.,Converts occupancy from voxels to physical units to compare across microscopes and settings.,`XY_*_vox_cnt_* * (scale_z * scale_y * scale_x)` applied element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,scaled physical-volume version of an XY voxel-count profile. converts occupancy from voxels to physical units to compare across microscopes and settings
XY_cytoplasm_vol_perbin,Scaled physical-volume version of an XY voxel-count profile.,Converts occupancy from voxels to physical units to compare across microscopes and settings.,`XY_*_vox_cnt_* * (scale_z * scale_y * scale_x)` applied element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,scaled physical-volume version of an XY voxel-count profile. converts occupancy from voxels to physical units to compare across microscopes and settings
XY_whole_image_vol_perbin,Scaled physical-volume version of an XY voxel-count profile.,Converts occupancy from voxels to physical units to compare across microscopes and settings.,`XY_*_vox_cnt_* * (scale_z * scale_y * scale_x)` applied element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,scaled physical-volume version of an XY voxel-count profile. converts occupancy from voxels to physical units to compare across microscopes and settings
XY_obj_vol_perbin,Scaled physical-volume version of an XY voxel-count profile.,Converts occupancy from voxels to physical units to compare across microscopes and settings.,`XY_*_vox_cnt_* * (scale_z * scale_y * scale_x)` applied element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,scaled physical-volume version of an XY voxel-count profile. converts occupancy from voxels to physical units to compare across microscopes and settings
XY_center_vol_perbin,Scaled physical-volume version of an XY voxel-count profile.,Converts occupancy from voxels to physical units to compare across microscopes and settings.,`XY_*_vox_cnt_* * (scale_z * scale_y * scale_x)` applied element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,scaled physical-volume version of an XY voxel-count profile. converts occupancy from voxels to physical units to compare across microscopes and settings
XY_cell_vol_perwedge,Scaled physical-volume version of an XY voxel-count profile.,Converts occupancy from voxels to physical units to compare across microscopes and settings.,`XY_*_vox_cnt_* * (scale_z * scale_y * scale_x)` applied element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,scaled physical-volume version of an XY voxel-count profile. converts occupancy from voxels to physical units to compare across microscopes and settings
XY_nuc_vol_perwedge,Scaled physical-volume version of an XY voxel-count profile.,Converts occupancy from voxels to physical units to compare across microscopes and settings.,`XY_*_vox_cnt_* * (scale_z * scale_y * scale_x)` applied element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,scaled physical-volume version of an XY voxel-count profile. converts occupancy from voxels to physical units to compare across microscopes and settings
XY_cytoplasm_vol_perwedge,Scaled physical-volume version of an XY voxel-count profile.,Converts occupancy from voxels to physical units to compare across microscopes and settings.,`XY_*_vox_cnt_* * (scale_z * scale_y * scale_x)` applied element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,scaled physical-volume version of an XY voxel-count profile. converts occupancy from voxels to physical units to compare across microscopes and settings
XY_whole_image_vol_perwedge,Scaled physical-volume version of an XY voxel-count profile.,Converts occupancy from voxels to physical units to compare across microscopes and settings.,`XY_*_vox_cnt_* * (scale_z * scale_y * scale_x)` applied element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,scaled physical-volume version of an XY voxel-count profile. converts occupancy from voxels to physical units to compare across microscopes and settings
XY_obj_vol_perwedge,Scaled physical-volume version of an XY voxel-count profile.,Converts occupancy from voxels to physical units to compare across microscopes and settings.,`XY_*_vox_cnt_* * (scale_z * scale_y * scale_x)` applied element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,scaled physical-volume version of an XY voxel-count profile. converts occupancy from voxels to physical units to compare across microscopes and settings
XY_center_vol_perwedge,Scaled physical-volume version of an XY voxel-count profile.,Converts occupancy from voxels to physical units to compare across microscopes and settings.,`XY_*_vox_cnt_* * (scale_z * scale_y * scale_x)` applied element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,scaled physical-volume version of an XY voxel-count profile. converts occupancy from voxels to physical units to compare across microscopes and settings
XY_cell_vol_wedges_perbin,Scaled physical-volume version of an XY voxel-count profile.,Converts occupancy from voxels to physical units to compare across microscopes and settings.,`XY_*_vox_cnt_* * (scale_z * scale_y * scale_x)` applied element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,"Radial bin occupancy profiles map organelle distribution from cell center to periphery, revealing centripetal or centrifugal localization preferences. These profiles are essential for detecting polarized organelle organization and stress-induced redistribution."
XY_nuc_vol_wedges_perbin,Scaled physical-volume version of an XY voxel-count profile.,Converts occupancy from voxels to physical units to compare across microscopes and settings.,`XY_*_vox_cnt_* * (scale_z * scale_y * scale_x)` applied element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,"Radial bin occupancy profiles map organelle distribution from cell center to periphery, revealing centripetal or centrifugal localization preferences. These profiles are essential for detecting polarized organelle organization and stress-induced redistribution."
XY_cytoplasm_vol_wedges_perbin,Scaled physical-volume version of an XY voxel-count profile.,Converts occupancy from voxels to physical units to compare across microscopes and settings.,`XY_*_vox_cnt_* * (scale_z * scale_y * scale_x)` applied element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,"Radial bin occupancy profiles map organelle distribution from cell center to periphery, revealing centripetal or centrifugal localization preferences. These profiles are essential for detecting polarized organelle organization and stress-induced redistribution."
XY_whole_image_vol_wedges_perbin,Scaled physical-volume version of an XY voxel-count profile.,Converts occupancy from voxels to physical units to compare across microscopes and settings.,`XY_*_vox_cnt_* * (scale_z * scale_y * scale_x)` applied element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,"Radial bin occupancy profiles map organelle distribution from cell center to periphery, revealing centripetal or centrifugal localization preferences. These profiles are essential for detecting polarized organelle organization and stress-induced redistribution."
XY_obj_vol_wedges_perbin,Scaled physical-volume version of an XY voxel-count profile.,Converts occupancy from voxels to physical units to compare across microscopes and settings.,`XY_*_vox_cnt_* * (scale_z * scale_y * scale_x)` applied element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,"Radial bin occupancy profiles map organelle distribution from cell center to periphery, revealing centripetal or centrifugal localization preferences. These profiles are essential for detecting polarized organelle organization and stress-induced redistribution."
XY_center_vol_wedges_perbin,Scaled physical-volume version of an XY voxel-count profile.,Converts occupancy from voxels to physical units to compare across microscopes and settings.,`XY_*_vox_cnt_* * (scale_z * scale_y * scale_x)` applied element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,"Radial bin occupancy profiles map organelle distribution from cell center to periphery, revealing centripetal or centrifugal localization preferences. These profiles are essential for detecting polarized organelle organization and stress-induced redistribution."
XY_area_perbin,Scaled physical-area version of XY pixel-count profile.,Makes area normalization interpretable in physical units.,`XY_n_pix_* * (scale_y * scale_x)` applied element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,scaled physical-area version of XY pixel-count profile. makes area normalization interpretable in physical units
XY_area_perwedge,Scaled physical-area version of XY pixel-count profile.,Makes area normalization interpretable in physical units.,`XY_n_pix_* * (scale_y * scale_x)` applied element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,scaled physical-area version of XY pixel-count profile. makes area normalization interpretable in physical units
XY_area_wedges_perbin,Scaled physical-area version of XY pixel-count profile.,Makes area normalization interpretable in physical units.,`XY_n_pix_* * (scale_y * scale_x)` applied element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,"Radial bin occupancy profiles map organelle distribution from cell center to periphery, revealing centripetal or centrifugal localization preferences. These profiles are essential for detecting polarized organelle organization and stress-induced redistribution."
zernike_n,Indices of Zernike polynomial basis terms used for shape-distribution descriptors.,Provides basis labels for interpreting Zernike magnitude/phase vectors.,Generated by centrosome Zernike utilities for selected polynomial degree.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,indices of Zernike polynomial basis terms used for shape-distribution descriptors. provides basis labels for interpreting Zernike magnitude/phase vectors
zernike_m,Indices of Zernike polynomial basis terms used for shape-distribution descriptors.,Provides basis labels for interpreting Zernike magnitude/phase vectors.,Generated by centrosome Zernike utilities for selected polynomial degree.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,indices of Zernike polynomial basis terms used for shape-distribution descriptors. provides basis labels for interpreting Zernike magnitude/phase vectors
zernike_cell_mag,Magnitude of Zernike coefficient(s) for projected spatial pattern.,Captures rotationally informative spatial-shape signature of object localization.,For each basis term: `sqrt(vr^2 + vi^2) / sum(pixels)` where `vr` and `vi` are real/imaginary projections.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,magnitude of Zernike coefficient(s) for projected spatial pattern. captures rotationally informative spatial-shape signature of object localization
zernike_nuc_mag,Magnitude of Zernike coefficient(s) for projected spatial pattern.,Captures rotationally informative spatial-shape signature of object localization.,For each basis term: `sqrt(vr^2 + vi^2) / sum(pixels)` where `vr` and `vi` are real/imaginary projections.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,magnitude of Zernike coefficient(s) for projected spatial pattern. captures rotationally informative spatial-shape signature of object localization
